location,in_time,per change,abs change,avg,standard dev,main hr count
pa,2012-08-12 03:00:00,86.833361877,8450.33333333,9731.66666667,8395.26848224,18182
pa,2012-07-27 21:00:00,32.4565712499,7268.0,22393.0,4799.81848615,29661
pa,2012-08-12 22:00:00,74.9150002554,16497.875,22022.125,4008.92995192,38520
pa,2012-07-27 09:00:00,10.9475340762,1293.9,11819.1,1021.03589065,13113
pa,2012-08-03 03:00:00,101.752335096,9768.11111111,9599.88888889,8251.0451923,19368
pa,2012-08-03 06:00:00,33.7230678726,2751.6,8159.4,2112.39064569,10911
ad,2012-08-03 07:00:00,7.81826388781,502.3,6424.7,471.712422987,6927
ad,2012-08-11 03:00:00,89.7806070251,8775.55555556,9774.44444444,8514.04732207,18550
ad,2012-08-10 08:00:00,14.6016364056,822.7,5634.3,367.633254753,6457
ad,2012-07-27 14:00:00,10.745981395,1507.5,14028.5,1053.2293435,15536
ad,2012-07-27 23:00:00,21.2275382681,3588.25,16903.75,2026.07642687,20492
ad,2012-08-10 17:00:00,19.092835378,3126.7,16376.3,862.061488526,19503
ad,2012-08-03 04:00:00,226.688925799,12159.1818182,5363.81818182,7247.93153964,17523
ad,2012-07-27 11:00:00,18.6698686403,1422.7,7620.3,1033.83461443,9043
ad,2012-07-31 00:00:00,11.1347021134,1848.625,16602.375,1475.16040971,18451
ad,2012-08-10 11:00:00,16.2967327964,1244.5,7636.5,1054.52484561,8881
